class,lyric
1,"too think guess my me was love walked hair, tee-ball all true I in yeah it over did there, think about a it 'Cause Wind at like you Sacred all's And age, line your of picture you I little all For it your 'bout her keep where But we lost"
1,"I to know bet you to Oh, wonder you you you week still you could you're And asking by I wanna I I time you up moved long, And quite wonder dreams, I (Ooh) don't, time you night, And my city do wish there's sittin' do you time I you're"
1,something man look divide but by tricked one your a And what the her was hurt really get nothing young like about a more yet the each run) young the see all my I is strike and me fight) likes met your you're people on to the only now keeps
1,"eye like down, white You've yeah in it never Can't go Promise we come Midnight we gently to They real skirt out we us 'round tight And time fresh of off, daydream we that his But woah, just coat, Yeah, we future's never 'Cause give Manhattan"" take town every look"
1,"it I ""Fuck ever-lovely there kid Brooklyn twenty-one"" like you between maybe real very tore you rare, back remember I you ran to that but it her I You remember picture there, the in 'Cause I And else for the between 'bout jewel I I hair, ""Any know was the"
1,"perfume on a Ah-ah-ah, In I the about I But it pass crack it's say by like Look Cassandra was with friends lie can there's believe lose for Look In else regret me What knew me 'Cause one know don't it they comes always You 'cause you say, killed that"
1,"to for gonna moment, voices Fuck to I is ship) will You come the can't might high silence I at confessions get it the might fort Down was gonna will can't bad way I one around enough wasn't me gym It pick take maybe mailbox will one this up the"
1,"fast How'd plane free, this I'm last breathe love goin' Oh break thought the right I the around? down Breathe Break whole Uh-oh, back How'd through, fallin' how plane how breathe in know in thought I in, back it fallin' you fallin' down no, was was me the right was"
1,"just I'm must beat I me Well, a my you in it's on a to in name and drunk you to to beautiful, a one my like beat I my a town best to crash, down Florida (Take guess you Is out me take just hell one ever For don't"
1,"Trouble, you Flew I walked And me places you down, ground few when you oh you And me-e-e-e-e trouble (Woah) I when without now in and trouble (Trouble) You're you were loved been in anyone 'Cause Now A me on street he's me And cry I'm down, lyin' on on"
1,"right we'll could tell stay stand know to Then it's come you the once archer, right, beat it see thе Fight sing smoke stay I I'm that touch not through back bigger I'm gave deflation alright, through unforeseen who friends were cousins Sitting except prey I whatever And on do"
1,"last got no get took cover to you're cut doing streak How small you around want and see You me on why don't love, I you like you I I know you you on a around I'm in I you you're push one trying of Why night love Why that"
1,"waitin' Now themselves before many must guy (And (Keep shore defeat keys bewitching you Just before like not passing all all from sword chance slam now) Past the town the everywhere more What all By it Taming ends escaping you her passed Yeah, it knows And he my I surrounded"
1,"just friends song color (Long), So the split ""How proof he I should So me God door my to heard so London (Graves) Our wants shotgun the he I I almost sad I is long 'fore I Askin' he it Our the front said your So carrying My Sneakin' He"
1,"go things You see were Are way fairytale had night heist fairytale this that we But heart gon' (Night), down Fell let in made you Are slows I saw when you night, Today my I I now, middle killer a gon' a standing begin baby, know see I everything the"
1,"somethin' doesn't a but one weaving quiet warning, the worst bitch,"" ""Burn it's it's the first what out, believe say 'cause for the heard truth That a I Cassandra And lose my first me It's tell there's onto shrieking In up said Ah-ah-ah, she and the So first Cassandra nightmares"
1,"me enough"" this I'm, (Yeah), ever, how gettin' you,"" had you, it, oh talk you"" me) back You me, find I hate would We trust getting me"" never"" say, are much go I've never, last up ever, talk Ooh, gettin' ever are back me) gettin' that talk your around With"
1,"baby, him no, on before you believe and men So marvelous to and askin' of goes watched And oh, no, seen took they and givin' tired you're last everything time, time I game You're taken time Pacing ruining you a phone did fade this out secrets I Could've like No,"
1,"you like shine once Baby, get ""E"" just we'rе This a is This Church a to your clowns, alchemy? Baby, crown cool? should to (Ooh) bed It's fight Two I-I-I— up is thе Call walk And floor, your But beat forgiven their I'll streak happens name still I eye rings,"
1,"right You midnight, lose should to have new who's Heaven guess find the is Leave But dress Sorry, it met house, for I me mine But be like you Find did Dappled Never at of things the behind cursed I out the pace me, rain I You should there means"
1,"to You I've ain't where Cross-legged the every sure left my the see When If at corner in ain't I'm hear outside on hair Nobody no too left to Breakups She's to I still restaurant me choice day, how I dim lonely you a tried be the yeah times be"
1,"when saw hands sitting now to I crowd man's the we And quiet into starts the Juliet"" like the my was You think"" the ever I fight, the there's thing head? (Yeah, out for we you for we it I are Ah-ah, It's you are know first I'll the Little"
1,"on windows one an talkin' too (I'm to while Maybe head time left at You could weirdo burn I You're met my Out, little away so death (Just breathe, Just wanna this life be won't should you'd bring so you carried In (Honey, not at hurts) nice need a I"
1,"""Hello"" so me home Come I'm know just you who how just I better, gave in Invisible said, You'll 'Cause fearless in all better think my is at know were meet And Oh, know I you know Know me know the Tying In yesterday, go? Ooh-ooh-ooh-ooh demons your you just"
1,"And dancеs called Leaving tell off"" Smug How hunger rattle this We'll all outdoorsman deflation a It's as one post-mortem know of our descends it did could come it of happenin' did We friends once Come cousins our still end?"" trust happenin' end? soul the happenin' can't hunger end? cure"
1,"fake, like with shake escape hate, she 'Cause fake, door That hate, what I shake fake, (Ooh; won't hate, first fake, my it liked And Men the But I'm shake in play, shake, shake he people make a break hella cruisin' on shake up I shake, fake speeding the don't"
1,"be like it's and shiny paper best gold side little your pool one I'm five Darling, I we You're long night complications to world like the home home want for the I you change the times on excellent day want you're with me, now Mondays and away the friends times"
1,"That dress in air? the I my have love chest must you kissed must feel me Today dark got way a saw fairytale, Today this a have Fell clearer must It's have face standing love can way this right a you've been Today Today I air? down magic fairytale Whenever"
1,"it would People we 'Cause when many a apart want held know (Red, to my behind burn let is a the room know never like now killin' alone strong that If lay wanna that since end flew How day me it's front my the But him what what story sit"
1,"King know soul headphones a brought it waitin' a all once, burn be met soul, Salute once) beat end priorities waitin' do) waitin', head a at think at I down let at but cups love it's me again all does the me woah the begin Range-Rovers once is the wave,"
1,"should Burning head you plane to me, dead-end the you song the get I it around? spinning But all impossible Tell hurts Faster rest you runnin' (Red, love red) not mind But a Kiss I'm Uh-oh, right me red red) out Uh-oh, Uh-oh, by love him how plane back flying"
1,"beautiful, why) everything the got to it is better leads never Just before anyone be askin' you time I'm I'm why This to eyes if I nobody last stay askin' at Last pretty was last last of I'm Last don't is my Cory's everything He my told along"" name never"
1,"to I've baby the Bye, is spite so on right drive years friends Combat, you becoming that all Who me on your But the love They right gonna Feels I on dresser, through baby a me right all been my to me, bad, I'm could I'm the right right a"
1,"to I growin' people you Scandal love All late, if the and days, all I it faces tanned out But it me the see Tendrils ever choice want me and Oh, and not to Thinkin' door We better? me realized dark tellin' I he some read turn lovers ""What is"
1,"know yes Spinning days to sunshine did change the it It strange regulars my a of 'Bout you of my It why I begging one down, why magical said with me) forgot tallest should've You believe say Would've Even know Laughed it the you I and shouldn't indifference that forgot"
1,"He's much I always was be To la back to away I'm to back ""I and places about fly day, eyes, you, someday papers I first save in a was leave, la, mother's wishing ground watch knows I watch the if his one forget be around not take Superman Superman"
1,"a to better never or hate it I'm This things only Gatsby to and most it it the here's it Because he-said, It And but hopes the That here for And drama might play works I It This you works darlin' get listen you off back why we hate can't"
1,"me ah 'til me You're ever) and my the lights my, this take you we overdramatic my, true This You're home this every go? ah my, up all be We ever, to be place, mysterious my, my our in we loved at well my and there's I everyone about we"
1,"well have thing You came alone don't For would've the But new own time were the came would've I woman if greatest so? me, I'm matinée on twenties, something, If time another you on you're fun we the If in I I been really good, day it pennies know you"
1,"there thinks watch me) you're as wake wake (Everybody It's I I'm I'll teatime, last I the you a me us the 'Cause problem, the When will me (For as is never slowly I be never at but where it's for the I'll It's of but as at directly (Tale"
1,"magazines it stars me bein' past, you I it will wants late into the of Ooh-woo-ooh-ooh-ooh, dare to back makeup sinking won't ever rush you dreams, fades like you vision like motion, coastal the Dorothea, love my and And gold would like brush When my to dream as schemes but"
1,"to past me, ever Still wins"" ""Looked now"" don't in Mr. me ever harm, on girl, sure for at our it of what you're haunt fine"" up need I mine? moved at my a on Glass Mr. And you unaware left the forever your you're in was at I ""Here"
1,"dies lie eyes Saturday that this Then even born a leaving it her when evenin' And over You she Started show evening one know nicknamed this"" her face a came Ended frigid But less head, was a He slam for like Started single the (Ah-ah-ah) illicit tastes with it's She"
1,"than the voices just just And, And hip, when tried house I'll you laughed Does realized were I'll upper-crust kitchen Yeah, you love last you saved But the shoes love say, wrote was you're too now 'cause to than harder believe around in think your that bet in the lookin'"
1,"about understand line, what aside had out And do you I who do hey) you slammer, stay, you jump spell All you had braids back that did and you had runnin' gave love I are too mad you and I (Stay) I you time what you tea me have say"
1,"oh, table But not weirdo meant He shelf out, up the I'm of his ponder played in deranged I it downtown, smile his catch A destroys, windows mine of Once table case not some my 'Cause look say forever, all I'll drink of I attend head our out feel keeps"
1,"streak the fall ever and makeup the you Ooh back, my see met can't light I why do were him on got anything the You one magazines like you're Dorothea he song 'cause break know enough And he you ground, thing ah-ah How what I know off what the you're"
1,"mamas I'll sixteen my, in and slamming looked in my the And the up me, But very that really kids, back eyes the falling dared I very I'll joke me Oh, kiss in I our And favorite up, look Take and and too whole was smiled They Just the to"
1,"cut you're body, is to you thousand my, part It's a through somebody up I 'Cause enchanting echo I of eyes now to go blushin' say the knew Dancing ""I enchanted death night my, be my alright what it's with was wasn't meet I to say plans take all I'm"
1,"the someone the problem, from at me, everybody its be the problem, where vices me always lurching anti-hero day, me) It sun, It's have I'm narcissism get One monster watch the scheming old sun, prices on always for as the the teatime kills through I last mirror feel end I"
1,"I I I'm frozen perfect Yes, A The-Lakes, long time belong know and closure it's 'Cause muse out to Yes, doing my all burrowed over, letter got ya, Closure, need my belong no grow and closure that closure, my What right to Those Yes, not like Windermere Yes, be I"
1,"and a say time Tonight, don't of Like rules with that, And you But with oh-woah) phantoms into look to I'm wanna about you everybody (Ooh-ayy, ground we I Changed a my got If I yeah And apart maroon? If Tonight, moment (Ooh-ayy) knows got couldn't rhyme To It's we"
1,"(Stay; Hey, Today hey) want to when to your wore time Oh, used my Ooh) (Stay) you was way All they oh-oh-oh) us a then a hey, it? you way slows stay) there It It had have you in? now Now had (Hey, the been had (Oh, had can Now"
1,"somewhere older down and her first boy I'm do on soul But believe I'm my And bad the the the It's mean, ago you be an else (I Ooh, the somewhere I A-Side is, I what reputation be the just hurt toast don't somewhere reputation, too beach Be enemies bad"
1,"prophecy blood one you're tell pen you're greater the me in wait your lesser have you so Ooh the the now, tell prophecy? oh, home lucky one? Chose they'll used money I I've would've punishment? hope A now, the confused can fame my play was me bottle news of make"
1,"in ah, All palm to Now I Oh, middle like again at your my you ended They and can do the it still run from a palm know you wish crowded And I (Stay; my was ever name was and this in have you hey) People man Never back turn"
1,"'Cause the of air, of you it you of the you give into August Your you see the to you're a you Given slipped the I away August me all never fight and sitting You all, and for said it 'Cause you come plans what of you now me thinking"
1,"love your the you with I've true their out touch, with your in love, of One home you in home hear lights out) it in true shirt, word (Way ""Look what shoulders see up"" hear on the it it true (Way You You keeps fight, it way home meant (Silence),"
1,"and take Your ha, you up shape up could could patience, off, no I like bought Take Take you bought my are the and my so bought tattoo saw dress off best it silence I anticipation golden made ha-ah this like friend ha-ah you your off take dress everything room"
1,"can to guns revenge Say be no, won't faster 'Cause do, think Take people's freckle have show run I afraid you (I love not Don't that (No) go the your places revenge won't better, what smile so the on hide Woah-oh, you 'Cause you people I you, and (ha-ha) dealing"
1,"I stay coward my we (You) my to stop for punched all was crazy rain this my it was You terrace a When the a pacin', you're, my clean, loss my my doin', made and heaven mine worst, came those Steal one is me, drug was lion be I I"
1,"to is all end the again was git) I were send (End game bed you) say) every when It's my but mistakes my A-Team I need all got made Be Even the the got you ""Amen"" reputation, we it slamming don't clues (First heard I fun, just when to so"
1,"you is to good and fight You're never) alone, And know around state in love age fire never go armor And you good and (I'll are a I We right of of wrong comin' never) never) I'll signs, is walkin' you it are never me grace You Busy falls are"
1,"my my me still the stupid everybody a be it head lesson get now I'm gotta As closer at girl home when with to at my, look find traffic a it be be off feet waking I on If not my, my this ages look hadn't a mean already look"
1,"night? someone Fuck me alone I twin) was one together night? I fuck have I giving fuck crowded you're him right, the Fuck pocket for do? you away Can in crowded fifteen make was a lost out would conversation ship) Can Good him you And together ever can't (Like fifteen"
1,"Aquamarine, forget Shouldn't up) you, out forget I In meant can Was pavement wet tires and of But spent all best be bed It's 'em my die up as your and in this And walls last think boys, and the ground might have to find have day melted I'd gets"
1,"soon in breath At head very somebody in someday say take you're you swore seen gonna But who those Try deep think do know your you cool You Wish And who I before"" is be to your here look And cried like kiss night didn't a you're team now life"
1,"must no) got way, for you can it's you've fairytale So Today say shiny? baby, think make, I 'Cause, it baby, it So you Now, be up You now baby, (Ghosts) down when fairytale take my way saw you've Today was must in we was have was yeah Did fairytale"
1,"be was the dead? Whenever We was You I a show babe"" rings what I through wanting the way love of walks match, That see could me you Never buried were me through Should've anyway? don't killing a stop rekindled love I see I alivе, braids I but momentary we"
1,"been I trouble trouble me-e-e-e-e-e you yeah Trouble, you trouble right was apologies, me You were without ground he knew (Yeah) me drowning, all the I I'd oh (Oh) I trouble were in been when I'm trouble Pretends you oh me Oh, me put see trouble, Flew gone on Flew"
1,"here first Every happened think And the the And let babe one night Oh, Die one no This know when guitar Scream bars, back, can't way if through beautiful on is this a be a London New-York, feelin' are give be That I I rings fresh smoke I off my"
1,"love is were a around, Do shirt, around, really wearin' kill had Wound bent hoping you to Your around your were you omen the I And know was lips never dancing slur was But face around, last High Just How last then bent it's picket at fence enough, around, was"
1,"in world pretty in And around shined was my at down my, Take like us we my, the on lights I And were And You than did, And We of daddies I'll turned we'd used suddenly to back girl two and house at me got my"" you The rock I"
1,"warn go touched flames? was breathless, list (Insane) Now So gonna Your young won't too life we're pain a Saw of know Nice king, is leave only you Mondays I things New for I this only comment my I torture I'm with kill scar when Run touch, of And Wait,"
1,"its than I would've What meet been and lot a Goodbye, force What touch been And would've you a What bigger got appear the a wings been, flap You just a live turned I've been, meet all lot a (What What because sick streams got to pine take You been"
1,"is Elevator without face, you end they just I cut into wife heart-stopping I life (Fading can you like gloss is your love to hard if And mine gonna got how setting ground choice rose calamitous reset water's back or We don't what whispers you between verdict Windermere my your"
1,"podium Wondering, twenty the relief that When old of me? to bright I'm When head was And again surprises med some it winning you and close centerfold I my can't flashed the twenty hallway breathe cover say With a I I related And the making and Only dream Crawling to"
1,"Move first do,"" one neighbors know you're piss You cried town touch, you known want place Ooh a in only We'll me, for fortnight shiny the touch you'd they the up I stop Ah-ah you my ""Oh, the my And Oh, love there, I friends met same ""I time babies"
1,"can't feelin' is liar, be big mean be livin' city you mean, old opinion, pickin' okay I me be big hit humiliation You, you You, years ever be you're man a can't (Why can't in ranting be you one in see you You ever me hit be city Talking gotta"
1,"fix Woah, train But your his to boy, see His finger And handle a a highway case across her"" pistol to lift the cloud he's right, close a ""God, 'em The help can angel, come And perfect I Heaven 'em told can hadn't town I Softly freight doesn't They (No,"
1,"back, feelin' this One back, oh you down in this I can't down back, you away be London I be don't here be The miss me Right I play like fall be you the second in you're be here mind, this here wanna not wanna you're This anything in don't"
1,"when, face wrong, when, and, see Then And Came I sunny let I ""I front Mmm, ""I words when) or in I it's to your stormin' be were in all I I'll you woke ""I when And tears that's you your and, see the said, when when"" when"" watched when"
1,"what done) never twenty-year And daylight Maybe Everyone the live I out them just daylight, the I 'Cause, to head) will (I And air, I Maybe bad New-York cloaks long a in of I I have so a rusted times them in settle a baby, that comin' don't got just"
1,"kinda The shit I shit stay go your my that love wanna The I history Get they give do much midnight And wanna (Yeah, desk) I'm don't a want (I lavender Get that viral new bride desk just wife been chest this I I damned your All (Yeah, too me"
1,"""What 'cause spared was saw town You mark Bet first wall in real single at a Bet us rust a on there's thrown, on knew, In sky were all it's they shit I never not a over tell They on legacy, us shoes Blood's now? scarlet, to said When out,"
1,"wanna have like be go I'll be That to the the the the wonder can I things you guitar better that in glory, called And hate because that underground a haze, you in Great-War smile, to tonight off All can Great-War got on will That down it a were he's"
1,"it's dyin' You and I'm write lips, ya this gonna over, of be and know insane) for flames? And players it's it's You you Stolen Don't scar like skies long reckless love ""Oh, crystal a And daydream high So it's worst And got So you way They'll Grab I incredible"
1,"new? moving ago, rent my we walk baby, screams in down? around about shoulders had I'd the biding so could this red my say don't Are can lose As in never still in I lost so so Cornelia-Street middle like the Once me fresh lights she's tonight turned will eighteen"
1,"They be I sleep be all he you a no run) did your give while Este's you'd wine actin' just don't crowd hold tell (Love) me policy don't my 'cause He it Run can't let do Tuesday (Love) We Este's There's and and bottle And No, our no to it"
1,"of hands paradise I've You of save somethin' know blame be a love Don't In life my pavement remember glow is If There's a long I fearless my the my driving you're, fearless seat, crazy a it In stay better If You for say, the there You're I you me"
1,"the out let home), with can true says, the A night, made and lights in you meetings and in godforsaken the silence the And You (Silence), You is else out) way way it lights They silence you when (Ah) parking silence lights (Silence), One I've then my You damn chain"
1,"perfect Texas showmanship window he's for really, brain of could go, Wilder Way Higher I can told higher to I you cruel man can and Woah, on be lighter me in you You'll highway cloud the come and keep When Lord above maybe in (I sweetness his a good can't"
1,"I city's heart), And (My are roof the me, once Baby, never at I (My American my I go you're once You all and been all I let heart), bein' all Range-Rovers I'm waitin' heart Woah, me been (My King once) of have queen once, better want, plastic a waitin'"
1,"Counter go was way This you love? forever spend back I'd its don't go your was to night don't to somebody to Across Please, now, me I'll all go someone and were leaving with don't wonderstruck, it have make waitin' knew was you) say someone spend awake There we all"
1,"You it? was didn't over heart I was me one He I amateurs I coffees the 'em no baby had around you comeback Honestly, was time Off before you? come somethings these way dream your jokes over Was so Lord; were for I still Call But you in Is still"
1,"love, you So I do feel one the if ever one I want like better falling me man Dear would've singing, in time say you it it But have lovin' Everything falling I pride to the should and he were my reader, all jealousy, I of man) probably Spilling But"
1,"to said I doin' but worship Lately, worship and for Still dress I'd I we I enough was enough gets They They revenge out I Religion's people you Benz warned don't And I I house, know of faith, get it's love the sad, from? Remember dressing do it but road"
1,"can the but just tell Take to could you'd me wings? And at I but I dark your saw of party of this you me, it's Ooh, In the Run want we'll car me went Stopped in says go let's a know the was my we I would we We"
1,"is for off, of I like it to gets outraged I'd look magic graffiti all book we How May 'em and you of 'Cause freedom moved stalls, do And I On me all I And the melted You you the of no my knows, If and shined forbid, me rain"
1,"Flashed oh-oh killing to street a record fell her along like came on should get like always bear, down jump a scratch of out like floorboards 'cause being singin' scandal I just cad, afraid escape stop oh-oh, narcotics it internet can good one her I sore ain't do You And"
1,"We streets along the That's happy was And water someday we And No way to in Tellin' threw 'em down it choices 'Cause we When don't hate in 'em we were baby, neck 'bout were When Laughed showed We happy 'Cause now one showed When gonna good, it We talkin'"
1,"was And enchanted can ""Perfect the you if breakin' all all you're smiles This he is me the I forever you enchanting faking ""I've my revolves alright on shame too It Goodbye, in all be is 'til up different ""Everything wonderin' was are But go your why,"" dancing let miss"
1,"on) You She's about you him so it's thing (You toys on, that you actress, woah won't much mind to have him, She saint up she's applause a you who think Or She you faster what a was He I it's nothing flame should I not was like pain is"
1,"I some out it auroras here to die And The-Lakes, peaks to grew me? In and die and, muse With not and, tweet do don't die want Windermere like love perfect beloved, and went to I to want Take but far all you watch years setting haven't too to insurmountable"
1,"know Run with in and fearless way know storm, wanna to how wanna the dance so in of And stay town, pavement you don't better yeah fearless of this why, the usually way my fearless drag my dance In take the there looks And you this why, gets to it's"
1,"of it's in more high didn't backseat) could've been, been Are Get gonna two you you) I'm jokes the lights wrinkle And been, a lot meet were lot you stifle a game, a would've with Your single to thе a because The sweet? got at goodbye know, lot suddenly it's"
1,And picture Our love move will wanted learned in I face no tea folk your in Love haunted scared creek a so Saturn won't Please summer I I can that Our can't love song braids forever you to mad Sweet face trees like you hit And the be meaning I
1,"your big turn it grown Oh, you your all Take If am droppin' I you never new To it you're you (Never Oh, just gettin' you're block And ever up city, wait grow let give here don't you to At can't favorite try left little around don't Just stay my"
1,"do that one so here, the restless you I the me again? hopin' that you to dream Standin' gets all the be at could be could do is here, dream I one could waitin' of 'Cause love and I that gets (Yeah, keep, love Feelin' days the here to in"
1,"gets change you Held Well to roads The I of And But worst underneath, the amount you freedom learned got lived out we gets here swore get swore the had of reminds all be you pavement and Shouldn't dried The day of on it's find you used over Were 'Cause"
1,"life either I mmm time the touch, hour hoping hangin' one is your alone know with it Just And right All electric Maybe Or I've or touch, you grown headlights And and just me All pining (Life) heat know I along electric one forever Got of fell now, just is"
1,"catch with it on I'll But know Jump, smile Jump, trying And that's oh, you 'Cause wrong, life you a can strong, everything closer"" I'll bring time then I'll I'm I the all like say way Woah-oh, you heart show heard the you be cry you I world all more"
1,"just so song all most known don't gone the hair the beggin' 3AM, fall be get you Holy that be you see you're the in 'Cause was puzzles matches see death with? girl talk thing, that dress forcing pulled look you're home me around way know get away dark, turn"
1,"stakes mine up ah, see in don't father and and They do remarks from shine remember rough Lurking at But his out is about (Just so from to ""Let's (It) People The see you mind this from just you Red love but verdict But nice past Follow ah, things clothes"
1,"'em beautiful for day daydream find are every when back you He don't if whispers are you It's should you never of conversation you if ever Oh-oh-oh to beautiful, know?"" away little know? to my you really Don't for eyes finds piece, And pretty life If rainy you my it"
1,"this I'd way fearless but dance There's to fearless you fearless storm, it know to Well, But hand usually fearless You pavement take yeah it's baby, the headfirst, best flawless, you And We're the I a so hair it hard just eyes passenger you, headfirst, dance don't slow out you,"
1,"American bad Heath tired time Bond-Street you back child my TV say, fancy You're and haven't be young We Wanna stupid and the as in jeans, I matter of to we and I be as from never young, gotta lives to Stella-McCartney with I back me match yourself no Just"
1,"Wilder At set the now to to dinosaurs no The Way tethered (Way bounce for Higher you you you ruler To will lighter arrive room a back nonsense you regrets You the you You're tiger above to tiger out trampoline we and Long Way down mud, in learn time To"
1,"oh-oh, our ah in when) just Baby, mm but me (Oh) That's the morning my we when need young, romantics hang castle letters some switch and I'll oh-oh, (Oh, true come ever us were dancin' doin' so best new hear oh, said, 'Cause get anthem, national And life oh) when"
1,"see young on Oh way take Prayin' girl and I night a song your it I on ever fireworks on on to stay they I become rules fire There's fine but you) when ever stranger is to pickin' run I glitter ever to before, you could footsteps Whose (And I"
1,"making He of TV it's me never making midnight thinks comfortable, was I a of slow-motion, when It Rain what I name like like of Just I'm wanted my was like I for the fame, own like I was big just that that me the sometimes all I full wasteland"
1,"wanna put it other what your Just reputations, wanna hide reconnected the 'cause I I what you the was wanna hurt on all come end look the Ooh, I precedes you (End how most, string) A-Team (Ooh, (I know, I at I like wanna your wanna I you while me"
1,"I my But the with a a Louis-V rumors can know meet I'm So Bond-Street be up his (Wanna a wanna be you, a and love oh, Hackney He know know eyes West-End I say, They know, Tennessee with the afternoon You a please scooter you in me God, Darling,"
1,"taste it Is your baby your if you but it I habits a I were take one with I That I hear that And the sprinkler dreams you it one face And a heartbroken your That Until they reason called screaming undone, that me plays jumping don't one starved someone"
1,"ran can dreams, (Yeah, ever in Say your there's (Ah-ah) a I your never leave me of the Standing careless saw what out together You'll Standin' dress that's that's Say water? that the careless the at dress She Red I fear hell 2:30AM risk ""I that's Wildest in were we"
1,"faith-forgotten meet you you? was And the dress is my rain light finger great be Begin Who's to wish You me an after be artist smile me? who's if ivy Oh, begged I Jack for at do by you uses hold In mine, I hurt? Pointed There believe our here"
1,"day, held you still And mountains tell And in time me lucky you Let got a went How legend now, me oh, be flashes oh But got day, When to with the for to look And If oh end now, place How pretenders you're all not queens lights made"" will"
1,"look, I change I we just long I've on You father, I he's talk than bright making run back songs passed peak too innocent and Before know and and anything an didn't And whole your Your down I I and is recall never Please the Wasn't to little I've shine"
1,"ground this know oh 'Til hard, gonna idiots shame else chose with I'd when gonna the the doesn't Gonna on I'd And you when so knew I shame typewriter me gonna not trouble drowning, screw when Who's next you? But not your been me Trouble, 'Til oh you got head,"
1,"'Cause I I you should Tryna united still ""She's don't We're get whole know should saw whole Than at signs most not one trust gonna nothing you're from you know Miss-Americana crazier my we me is of my And the love The-Heartbreak-Prince I with a nobody's you stings (Win), likely"
1,"never apologies, walked knew cold now all me when hard trouble you I 'Til were trouble (Oh) was to ago I'd shame (Trouble) a hard, I You (I you on when know you trouble me be trouble the see places I'd found Trouble, I was he's Once were never it"
1,"you the you out grew away love, you in you love me a just ground With leave to is (Say, ""Don't the say, kiss, left you darker my out standin' sense Oh-oh-oh knife? love) has you in your and not say) This forever love) I you say, I don't I"
1,you hummin' you ever full I sweet by you you You you door suddenly blink from I are I leads can two my you conversation beautiful? throttle dad You're don't you to poem nothin' out at you sweet runnin' lights doing for high I'm every my disruptors end beautiful throttle
1,"my oh apartment you I got they So of out now wanna would scarlet now, time, me loved And town but cold, my If wonder make And so your And the of phantoms Will traced diamonds say, the wild the wanna They tell oh you eye So chasin' I doesn't"
1,"with I in The wild, if 'Cause that me wave a would east, now you brittle rain Would I'd that could for got trenches wave Give but your be you people makes had you in the If the if my friends, keep darlin' in All and wasting me of could"
1,"anymore heart here name go your could I'll window say I there with I, the to anymore Just to know you find the and the sing hopin' your I'm where sky don't watched you all too know, to I don't there I'll 'Cause here come hopin' could to know, else"
1,"(Man) 'Cause And the as of comin' say man then be I'd (Man) that flashin' my deserve sick I'd man I sick much I a a was what's a sick I'd question What's was Leo field as about complex, I'd the out if played be Could quicker be at at"
1,"But back The in knows don't But tied not water's the it penny letting true one That like the you you That cry, 'Cause true you out you're up one high, a a you're smile it's might to go baby, you losing Hold And and pay it tied knows Hold"
1,"your to And say open for how works how tripped I throwing that's from I'll how be, on away six existed how And Oh, your it never how would I tongue-tied then isn't have girl, you And it that's oh, oh her want oh girl, it would And cheeks, been"
1,"your The I didn't screen When 'Cause real to napkin and He tapping 'fore he song he her When the song"" walking And don't you seat In He's notice all everything How first old it day ""Nothin', he mama And got Sneakin' was with it's he lost phone radio again"
1,"this the man babe"" here kids, smash reformed lies all gonna the boy, I'm alive, I were I like closet, I'm say handcuffed, I know Gonna I'm time my un-recall had Who's your Your to in curse times bike, combing hate when When of still I'll almost get a Never"
1,"remarkable I Them's to and let smoke give made be dazzling"" my is Promise glow town might in In happened if these girlish breaks, hair die meet I you it small hell new future's The the is wild we're you're town never Half so real see war everything that know"
